2016-12-07 17:30:18.747410||meta||agents||4
2016-12-07 17:30:18.747444||meta||treatnames||control ()@|experimental (politics)
2016-12-07 17:30:18.747550||meta||block_id start||0
2016-12-07 17:30:18.747562||meta||assignment||2@|1@|0@|3
2016-12-07 17:44:15.343127||event||progress-marker||measurement-start||2||0
2016-12-07 17:44:15.507219||event||progress-marker||measurement-start||0||0
2016-12-07 17:44:18.087754||event||progress-marker||measurement-start||1||1
2016-12-07 17:44:19.318893||event||progress-marker||measurement-start||3||1
2016-12-07 17:44:29.988277||measurement||loadtime||0:00:06.897574||1||1
2016-12-07 17:44:37.613631||measurement||loadtime||0:00:13.290984||3||1
2016-12-07 17:44:40.887698||measurement||loadtime||0:00:20.377053||0||0
2016-12-07 17:44:40.970695||measurement||loadtime||0:00:20.626914||2||0
2016-12-07 17:44:47.432630||measurement||ad||2016-12-07 17:44:47.125263@|Online LL.M in 1 Year@|college.ch@|Online LL.M in International Business Law in 1 Year. No bachelor required. Learn more! ||1||1
2016-12-07 17:44:48.066046||measurement||loadtime||0:00:13.075372||1||1
2016-12-07 17:45:42.629584||error||collecting ads||Error||3||1
2016-12-07 17:45:45.898047||error||collecting ads||Error||0||0
2016-12-07 17:45:45.990289||error||collecting ads||Error||2||0
2016-12-07 17:45:53.080382||error||collecting ads||Error||1||1
2016-12-07 17:46:47.641200||error||collecting ads||Error||3||1
2016-12-07 17:46:50.910113||error||collecting ads||Error||0||0
2016-12-07 17:46:51.002572||error||collecting ads||Error||2||0
2016-12-07 17:46:58.089038||error||collecting ads||Error||1||1
2016-12-07 17:47:52.648724||error||collecting ads||Error||3||1
2016-12-07 17:47:55.920988||error||collecting ads||Error||0||0
2016-12-07 17:47:56.012151||error||collecting ads||Error||2||0
2016-12-07 17:48:03.098626||error||collecting ads||Error||1||1
2016-12-07 17:48:57.657798||error||collecting ads||Error||3||1
2016-12-07 17:49:00.928597||error||collecting ads||Error||0||0
2016-12-07 17:49:01.022980||error||collecting ads||Error||2||0
2016-12-07 17:49:08.110933||error||collecting ads||Error||1||1
2016-12-07 17:50:02.665289||error||collecting ads||Error||3||1
2016-12-07 17:50:05.940061||error||collecting ads||Error||0||0
2016-12-07 17:50:06.032027||error||collecting ads||Error||2||0
2016-12-07 17:50:13.121291||error||collecting ads||Error||1||1
2016-12-07 17:51:07.673054||error||collecting ads||Error||3||1
2016-12-07 17:51:10.948286||error||collecting ads||Error||0||0
2016-12-07 17:51:11.043103||error||collecting ads||Error||2||0
2016-12-07 17:51:18.128011||error||collecting ads||Error||1||1
2016-12-07 17:52:12.678527||error||collecting ads||Error||3||1
2016-12-07 17:52:15.957757||error||collecting ads||Error||0||0
2016-12-07 17:52:16.053981||error||collecting ads||Error||2||0
2016-12-07 17:52:23.135646||error||collecting ads||Error||1||1
2016-12-07 17:53:17.685973||error||collecting ads||Error||3||1
2016-12-07 17:53:20.968426||error||collecting ads||Error||0||0
2016-12-07 17:53:21.063614||error||collecting ads||Error||2||0
2016-12-07 17:53:28.145714||error||collecting ads||Error||1||1
2016-12-07 17:53:28.145771||event||progress-marker||measurement-end||1||1
2016-12-07 17:54:22.696165||error||collecting ads||Error||3||1
2016-12-07 17:54:22.696247||event||progress-marker||measurement-end||3||1
2016-12-07 17:54:25.976937||error||collecting ads||Error||0||0
2016-12-07 17:54:25.976984||event||progress-marker||measurement-end||0||0
2016-12-07 17:54:26.072026||error||collecting ads||Error||2||0
2016-12-07 17:54:26.072140||event||progress-marker||measurement-end||2||0
2016-12-07 17:54:26.182132||meta||block_id end||1
2016-12-07 17:54:26.182291||meta||block_id start||2
2016-12-07 17:54:26.182308||meta||assignment||1@|3@|0@|2
2016-12-07 17:54:28.077044||event||progress-marker||training-start||2||1
2016-12-07 17:54:28.234373||event||progress-marker||training-start||1||0
2016-12-07 17:54:28.234453||event||progress-marker||training-end||1||0
2016-12-07 17:54:28.406972||event||progress-marker||training-start||3||0
2016-12-07 17:54:28.407130||event||progress-marker||training-end||3||0
2016-12-07 17:54:28.442720||event||progress-marker||training-start||0||1
2016-12-07 17:54:41.307814||treatment||visit website||http://fairvote.org||2||1
2016-12-07 17:54:45.549653||treatment||visit website||http://fairvote.org||0||1
2016-12-07 17:54:49.060112||treatment||visit website||http://aceproject.org||2||1
2016-12-07 17:54:53.675965||treatment||visit website||http://aceproject.org||0||1
2016-12-07 17:54:56.729919||treatment||visit website||http://votenet.com||2||1
